gripping;wciągający
predictable;przewidywalny
touching;wzruszający
weak;słaby
awesome;niesamowity
chilling;mrożący krew w żyłach
horrific;przerażający
moving;wzruszający
unforgettable;niezapomniany
dull;nudny
creepy;przyprawiający o gęsią skórkę
brilliant;wspaniały
fast-paced;z szybką akcją
electrifying;elektryzujący
poignant;urzekający
a couple;para
a loner;samotnik
to be bullied;być ofiarą znęcania się
bleak;ponury
a movie full of blood and guts;film pełny krwi i mięsa
pop culture;kultura masowa
to sniff;wąchać
astounding;zdumiewający
stand-up comedy;kabaret
an audition;przesłuchanie
to create a stir;wywołać zamieszanie
a ground-breaking idea;przełomowy pomysł
a rave review of a book;entuzjastyczna recenzja książki
a sell-out performance;dobrze sprzedające się show
a must-see movie;warty zobaczenia film
hype;szum medialny
a letdown;roczarowanie
a complete flop;totalne rozczarowanie
to go mainstream;stać się tacy jak inni
alternative music;alternatywna muzyka
dimensions;wymiary
hight;wysokość
high;wysoki
to highten something;podwyższyć coś
long;długi
length;długość
to lengthen;wydłużyć coś
width;szerokość
wide;szeroki
to widen;poszerzyć
thickness;grubość
to thicken;pogrubić
thick;gruby
narrow;wąski
to narrow something down;zawęzić coś
narrowness;wąskość
broad;rozległy
to broaden something;rozszerzyć coś
broadness;rozległość
deep;głęboki
to deepen something;pogłębić coś
depth;głębokość
large;ogromny
largeness;wielkość
to enlarge something;powiększyć coś
short;krótki
shortness;krótkość
to shorten something;skrócić coś
eye-catching;efektowny
to have artistic merit;mieć wartość artystyczną
to deface buildings;niszczyć powierzchnię budynku
striking;robiący wrażenie
stimulating;pobudzający
offensive;obraźliwy
provocative;prowokacyjny
to convey a message;nieść przesłanie
hideous;ohydny
messy;niechlujny
pleasing to the eye;przyjemny dla oka
peace and quiet;święty spokój
by leaps and bounds;poprzez milowe kroki
on and on;ciągle
rough and ready;prowizoryczny
now and then;od czasu do czasu
to be sick and tired of something;być zmęczonym czymś
give and take;pójście na wzajemne ustępstwa
to be something through and through;być czymś w każdym calu
