Angielski,Polski,Frequency,BadlyAnswer,PerfectScore
peers,rowiesnicy,14,0,0
releases,wydania,14,2,0
nastiest,najgorszy,14,1,0
tend,mieć skłonności,12,4,1
wholesale,hurt,14,1,0
assemble,gromadzić się,15,2,0
torn out,wyrwane,12,7,1
rubble out,gruz na zewnątrz,14,3,0
correctness,poprawność,14,0,0
incremental,przyrostowe,14,4,0
breed,rasa,14,3,0
industry,przemysł,14,0,0
coverage,zasięg,14,6,0
backwardness,zacofanie,14,0,0
wringer,wyżymaczka,14,1,0
accused,oskarżony,12,8,0
gradually,stopniowo,14,4,0
fairly,raczej,14,4,0
subconsciously,podświadomie,15,2,0
Compound,pogarszać,12,4,1
handrail,poręcz,14,5,0
substantial,istotny,14,4,0
purely,całkowicie/wyłącznie,12,8,0
sophisticated,wyrafinowany,14,2,0
approach,zbliżać się,12,4,1
delighted,zachwycony,14,0,0
vague,niejasny,15,5,0
seriousness,powaga,14,5,0
vaguer,mglisty,14,5,0
shelved,na półce,14,0,0
lead,prowadzić,14,0,0
shelving,reagły,15,2,0
inhibits,hamuje,12,6,1
dared,odważył się,12,7,1
blithely,beztrosko,15,2,0
plowed,zaorany,15,6,0
forward,naprzód,14,0,0
bagel,obważanek,15,2,0
hire,wynajmować,14,2,0
exponentially,wykładniczo,14,1,0
unforeseen,nieprzewidziany,15,3,0
frequently,często,15,2,0
Arbitrarily,dowolnie,15,1,0
awaited,oczekiwany,14,0,0
sampling,próbowanie,14,1,0
rely,polegać,14,2,0
revenue,przychód,15,1,0
ongoing,bieżący,16,9,0
fees,opłaty,14,3,0
deliberately,celowo,12,3,1
reluctant,niechętny,15,3,0
retailer,detalista,14,4,0
comprehensive,wyczerpujący,14,2,0
bandwidth,pasmo,12,7,1
existence,istnienie,19,1,0
cranky,zepsuty,15,1,0
bachelor,kawaler,14,2,0
ordinarily,zwykle,15,1,0
thrive,prosperować,12,11,1
conundrum,zagadka,12,14,0
audacious,zuchwały,15,6,0
fragile,kruchy,14,3,0
tentative,niepewny,15,3,0
obstacle,przeszkoda,15,4,0
attainable,osiągalny,15,3,0
dialup,wykręcić numer,15,4,0
